x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11
0.480 5.234 2.620 2.857 0.803 13.897 0.326 0.902 0.164 0.183 4.155
0.245 1.312 2.115 8.077 0.974 9.227 0.252 2.703 -0.006 -0.061 1.995
0.276 3.402 2.527 5.447 0.957 13.474 0.299 2.341 0.094 0.113 3.541
0.482 6.554 2.631 5.134 0.671 12.333 0.259 1.473 0.216 0.112 3.941
0.400 4.011 2.528 3.716 0.805 10.382 0.266 0.697 0.201 0.159 4.361
0.336 4.001 3.083 4.626 0.904 7.834 0.156 0.898 0.130 0.061 2.444
0.379 3.366 2.099 6.142 0.977 17.366 0.384 2.451 0.204 0.063 3.177
0.369 4.550 2.242 3.609 0.672 12.353 0.291 0.975 0.158 0.201 3.185
0.396 5.479 2.231 4.264 0.786 15.248 0.244 1.318 0.064 0.116 3.989
0.325 3.573 2.446 5.087 0.708 10.791 0.183 1.500 0.075 0.122 3.675
0.404 4.195 3.226 4.959 0.948 14.880 0.460 0.910 0.151 0.280 5.071
0.367 4.756 2.891 4.264 0.799 13.443 0.270 0.927 0.195 0.194 3.932
0.340 3.640 3.075 4.937 0.821 13.782 0.296 1.659 0.214 0.107 3.507
0.281 2.872 2.299 4.543 0.926 8.921 0.205 0.901 0.072 0.102 2.567
0.373 4.212 2.769 5.014 1.060 15.577 0.288 1.664 0.175 0.095 3.788
0.356 3.629 3.435 4.694 0.843 11.503 0.253 1.249 0.106 0.198 3.147
0.426 5.087 2.797 3.029 0.758 11.412 0.311 0.912 0.175 0.154 3.759
0.262 2.722 3.439 6.223 1.018 8.324 0.233 1.200 0.083 0.108 3.065
0.422 5.769 1.948 4.525 0.576 15.151 0.342 1.282 0.014 0.087 4.773
0.242 2.074 3.090 6.822 0.987 10.655 0.274 1.858 0.065 0.072 2.754
0.288 3.413 3.338 5.562 1.054 9.265 0.276 1.830 0.181 0.071 2.710
0.409 4.701 3.340 5.531 1.237 13.800 0.274 1.598 0.159 0.102 3.032
0.382 4.362 2.588 3.941 0.779 14.441 0.265 1.480 0.213 0.147 3.372
0.277 3.261 2.730 4.335 0.747 7.909 0.181 1.014 0.102 0.108 2.910
0.416 3.511 2.822 5.128 0.992 15.695 0.298 1.864 0.268 0.108 4.097
0.238 2.840 3.180 6.392 1.293 9.059 0.209 1.529 0.120 0.043 3.000
0.544 6.523 3.333 3.431 0.759 13.712 0.334 0.423 0.128 0.240 5.209
0.404 4.119 2.689 4.599 0.744 13.960 0.264 1.241 0.099 0.126 4.185
0.384 4.126 2.440 5.626 0.965 11.960 0.224 1.647 0.203 0.086 3.102
0.290 2.823 2.731 6.063 0.688 7.677 0.217 1.343 0.065 0.073 3.250
0.598 5.807 2.525 4.633 0.889 16.131 0.368 1.462 0.221 0.169 4.544
0.337 4.067 2.902 4.826 0.772 14.203 0.343 1.577 0.167 0.074 3.355
0.403 4.327 2.660 4.993 0.863 14.668 0.402 1.720 0.125 0.091 3.617
0.241 4.281 2.984 4.369 0.828 9.670 0.243 1.036 0.201 0.105 3.089
0.412 4.038 3.731 4.341 0.971 12.550 0.244 1.197 0.135 0.180 3.309
0.154 1.840 3.533 6.902 1.308 8.954 0.190 2.047 0.091 0.018 1.608
0.352 5.170 2.945 2.187 0.866 11.566 0.306 0.765 0.194 0.165 2.959
0.288 3.336 3.430 5.054 0.896 10.608 0.258 1.017 0.104 0.175 2.689
0.447 5.060 3.240 5.462 0.937 18.099 0.339 1.762 0.196 0.164 3.649
0.420 5.828 2.898 4.121 0.793 14.167 0.347 1.133 0.180 0.199 4.181
0.492 5.230 2.116 3.516 0.584 16.289 0.374 1.241 0.262 0.188 4.687
0.385 4.707 2.350 4.655 0.882 15.452 0.357 1.789 0.208 0.153 3.213
0.354 4.626 2.854 4.885 0.753 14.250 0.273 1.332 0.072 0.098 3.228
0.244 3.112 3.245 6.687 1.095 11.960 0.240 2.001 0.177 0.080 2.440
0.221 2.715 2.848 5.216 0.978 6.625 0.137 1.202 0.075 0.015 1.833
0.374 2.819 2.694 5.560 0.804 10.830 0.268 1.472 0.069 0.137 2.838
0.416 3.943 2.908 6.660 1.076 14.812 0.313 2.033 0.173 0.069 3.716
0.356 3.874 2.739 4.778 0.894 11.158 0.215 1.099 0.149 0.093 3.510
0.410 4.898 2.362 3.565 0.630 11.763 0.342 0.783 0.119 0.169 4.037
0.246 2.761 2.914 4.860 0.799 5.649 0.168 1.192 0.016 0.069 2.180
