Día y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11
1 0.275 3.693 2.785 6.812 1.086 12.206 0.262 2.152 0.091 0.106 2.851
2 0.295 3.401 2.594 5.903 0.964 9.945 0.189 1.719 0.069 0.058 2.271
3 0.370 3.865 2.935 7.034 1.122 18.572 0.354 2.354 0.148 0.043 3.779
4 0.385 3.585 3.601 5.454 1.139 11.033 0.255 0.857 0.078 0.130 3.625
5 0.248 3.188 2.966 7.090 1.205 7.800 0.199 1.657 0.046 0.024 2.733
6 0.480 4.512 2.142 4.533 0.762 18.385 0.345 1.710 0.093 0.167 4.872
7 0.417 5.260 2.554 3.404 0.773 13.679 0.277 0.908 0.122 0.161 3.734
8 0.327 4.388 3.110 4.396 0.774 9.041 0.213 0.669 0.129 0.141 3.725
9 0.251 3.125 2.589 6.390 1.106 13.410 0.235 1.898 0.107 0.044 2.864
10 0.422 4.810 2.002 3.322 1.144 15.986 0.348 1.147 0.154 0.178 3.511
